pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,Label
4,1,0,3,4,0,15,0,0,1,0,1,3,1,16,3,3,9,18,2,0,17,2,2,1,0,16,9,0,5,0,0,3,6,0,2,5,0,1,0,6,0,0,10,6,0,0,1,19,2,1,4,4,0,0,0,0,0,0,4,0,14,4,1,0,0,3,0,2,2,1,0,1,0,8,0,17,0,1,0,4,0,0,0,11,0,1,0,24,1,3,14,0,4,2,1,5,14,0,0,1,0,0,9,0,0,3,0,0,1,0,0,9,19,2,0,0,0,10,0,0,4,1,44,8,0,0,0,10,1,3,28,1,0,8,0,0,2,4,0,0,1,8,1,5,24,7,1,0,1,25,0,12,7,3,4,1,5,0,1,5,3,0,8,17,2,0,2,22,12,1,0,1,12,1,5,0,2,1,0,7
2,0,1,1,0,0,9,2,0,3,0,4,3,1,5,2,1,16,15,1,1,13,2,1,1,0,9,1,0,2,0,0,2,5,1,1,2,0,4,0,1,0,0,8,9,0,0,2,15,0,2,2,3,1,0,1,0,0,0,2,0,4,2,2,1,1,0,0,0,2,1,0,1,2,10,1,6,3,1,1,0,0,0,4,13,0,2,2,22,0,2,11,0,5,5,2,11,7,0,3,1,0,0,9,0,0,0,1,2,0,0,0,8,10,1,0,2,0,5,0,0,2,3,18,3,1,0,0,11,2,2,16,0,0,9,0,0,1,3,3,0,0,9,1,2,25,12,0,0,0,25,0,23,1,2,3,0,1,2,3,2,2,0,3,3,0,0,3,13,13,4,0,0,9,2,4,0,2,1,0,7
5,0,1,4,1,2,10,1,1,1,0,4,0,3,4,1,1,13,9,1,0,21,1,0,2,0,9,6,0,2,0,0,4,6,1,5,3,1,0,1,0,1,1,9,6,0,0,3,9,0,0,1,2,0,0,1,1,0,0,4,0,12,2,1,0,0,3,0,0,0,2,0,3,2,3,0,9,4,1,0,0,0,0,1,6,2,1,0,24,2,0,23,0,5,4,0,5,6,2,0,1,0,0,6,1,1,3,1,1,1,0,0,4,9,0,1,0,0,7,0,1,2,2,16,4,0,1,0,13,2,2,20,1,3,8,0,0,1,4,3,0,1,9,0,4,24,5,1,0,1,6,0,16,1,1,1,0,10,1,3,0,5,1,3,6,0,0,5,8,5,4,1,0,5,2,7,0,3,0,1,7
4,0,4,3,1,2,10,3,0,0,0,0,6,3,11,1,0,13,20,3,0,30,1,1,3,0,11,8,2,3,0,0,1,9,2,2,4,0,2,0,5,0,0,6,6,0,0,1,13,0,1,4,2,0,0,0,0,0,0,4,1,11,4,1,0,0,5,0,0,2,2,0,3,0,15,0,5,2,1,0,5,0,0,3,13,1,2,3,28,1,4,22,0,2,6,1,10,15,0,3,1,0,0,16,1,0,0,0,2,0,0,2,13,25,1,0,0,0,6,0,1,1,0,22,5,0,0,0,16,1,0,20,3,0,14,0,1,0,1,5,0,1,14,2,4,25,10,3,0,1,17,0,17,4,3,1,0,8,0,4,8,4,0,2,12,1,0,0,21,11,4,0,1,8,1,8,1,4,0,1,7
1,0,0,2,2,1,6,0,0,1,1,4,5,0,3,2,1,12,7,1,0,6,2,2,1,0,6,2,0,4,0,0,1,4,3,0,1,0,2,0,1,1,0,7,3,2,0,3,11,0,0,1,0,0,1,0,0,0,0,7,0,6,2,0,0,0,0,0,1,2,2,0,0,2,3,0,10,2,0,0,1,0,0,0,16,0,1,0,14,0,0,12,0,4,8,0,3,5,0,3,2,0,0,6,1,0,0,0,1,1,0,0,10,4,0,0,1,1,2,1,0,1,2,14,1,1,0,0,12,1,1,13,1,0,8,1,0,0,1,0,0,0,4,5,0,12,9,0,2,2,6,0,18,0,3,1,0,2,0,3,2,4,1,2,5,0,1,1,4,4,5,3,0,4,0,3,0,0,0,1,7
1,0,2,0,1,0,6,1,0,0,0,4,7,3,2,3,0,16,21,1,1,26,3,2,2,0,10,5,0,0,0,0,4,8,2,2,10,1,0,0,1,1,0,2,8,0,0,3,13,0,2,0,1,0,0,0,0,0,0,0,0,7,5,5,0,1,5,0,0,3,3,0,1,2,6,1,7,0,0,0,0,0,0,6,8,0,1,1,15,3,3,15,0,1,3,0,8,5,1,0,3,0,0,15,1,2,1,0,0,0,0,0,6,12,1,1,0,1,3,1,0,3,2,24,2,0,0,0,9,4,2,17,0,0,10,1,0,5,3,0,0,1,16,2,4,10,7,0,0,2,11,0,26,2,1,1,0,12,0,2,2,1,1,1,6,0,0,5,16,7,2,1,0,4,1,6,0,1,0,1,7
2,1,0,16,5,0,0,3,3,2,0,0,0,0,0,1,0,3,0,1,3,0,1,2,4,3,0,1,9,1,18,1,1,10,7,0,0,1,2,2,4,5,1,8,2,5,12,0,0,1,1,0,0,0,11,1,1,5,2,2,4,0,2,1,3,1,0,1,1,2,8,9,10,0,0,2,2,0,8,3,0,10,1,0,0,3,4,5,0,0,2,0,2,0,1,1,0,2,2,2,0,9,10,6,4,3,0,1,0,8,1,0,2,0,0,4,2,6,2,3,2,1,4,0,3,0,5,5,5,3,1,2,0,5,0,2,54,0,1,2,7,1,1,6,0,0,0,0,3,2,0,2,0,1,0,4,1,0,0,0,2,0,3,1,0,3,2,2,1,0,0,5,3,1,4,0,3,1,2,1,7
2,1,1,22,0,4,4,5,5,1,0,2,1,0,2,2,0,6,0,6,0,0,2,5,3,3,0,4,3,0,27,0,2,7,10,1,0,1,0,4,4,5,7,3,0,1,2,6,0,7,1,4,1,1,6,3,5,2,10,3,3,0,3,2,0,0,1,3,0,1,5,2,2,1,0,0,2,1,3,1,1,3,0,0,0,3,12,3,0,1,6,1,1,2,0,1,1,12,1,0,7,15,2,11,4,2,1,1,1,6,0,2,0,1,4,2,2,2,0,0,0,3,2,0,5,2,3,2,6,1,0,5,1,2,0,0,7,1,0,1,3,3,0,8,3,0,0,5,14,1,0,1,2,6,1,6,0,1,5,1,1,5,3,4,0,3,2,6,0,1,2,0,2,0,4,1,3,0,1,2,7
3,0,1,1,0,0,12,0,0,1,1,4,2,4,7,1,4,9,13,0,1,19,3,3,3,0,12,7,1,4,0,0,3,7,1,5,2,2,4,0,0,0,0,8,2,0,0,2,16,0,1,2,1,0,0,0,0,0,0,6,0,9,1,4,1,1,7,0,1,1,1,0,2,1,8,0,7,0,0,1,2,0,0,1,6,0,2,2,28,1,1,20,0,3,5,0,2,10,0,3,2,0,0,11,0,1,0,0,0,0,0,0,9,22,0,0,0,0,4,1,1,3,3,19,3,0,0,1,4,1,0,23,0,0,9,0,0,1,1,2,0,2,14,4,4,22,8,2,1,2,23,0,21,0,1,1,0,10,1,2,3,4,0,5,8,0,0,5,12,4,5,0,0,5,1,7,0,2,0,1,7
1,4,2,19,1,0,0,10,1,3,2,2,1,0,0,1,2,5,0,2,4,0,3,2,3,3,0,1,6,3,16,3,0,2,9,1,0,5,4,4,2,1,5,3,0,0,11,2,0,4,3,0,1,2,10,4,1,2,6,1,1,1,2,0,2,2,0,10,0,1,3,0,2,0,0,0,2,1,6,0,1,3,2,0,0,7,6,7,0,0,4,0,1,5,0,3,0,8,3,3,1,8,1,6,2,3,1,0,2,9,0,0,1,1,2,3,1,3,2,2,2,1,6,0,6,0,1,3,13,3,0,7,1,10,0,2,9,1,2,1,7,2,0,6,1,0,0,0,10,3,1,1,0,5,0,6,3,2,3,0,1,4,4,4,0,2,3,1,0,1,0,2,1,2,6,1,1,0,3,2,7
0,0,2,0,0,0,10,1,0,2,0,2,2,1,13,4,1,15,31,4,1,13,2,0,1,0,13,2,0,1,0,0,1,3,0,4,2,0,1,0,0,1,0,2,2,0,0,2,13,0,0,1,2,0,0,0,0,0,0,3,0,4,0,3,1,1,1,0,0,1,0,0,2,0,1,1,6,2,0,0,1,0,0,8,16,0,1,0,22,4,1,9,0,1,3,0,4,9,1,2,1,0,0,9,0,1,1,0,1,0,0,0,3,14,0,0,0,1,4,2,1,2,1,15,3,0,0,0,3,2,1,21,0,0,9,2,0,5,1,0,0,1,9,2,2,20,14,1,1,0,11,0,12,2,5,2,0,5,0,1,2,3,3,4,6,0,0,4,15,16,3,0,1,5,0,6,0,2,1,0,7
1,0,1,5,0,2,17,0,0,3,0,2,5,1,13,1,3,23,22,1,0,38,2,0,2,0,11,6,1,7,0,0,4,10,2,3,5,2,2,0,3,0,1,9,8,0,0,4,25,0,0,3,3,1,1,2,0,0,0,4,0,14,6,1,1,0,4,0,1,5,0,0,2,0,13,0,9,2,0,1,2,0,1,9,18,2,2,0,38,1,2,21,0,1,4,0,7,11,0,0,1,0,0,16,0,2,1,0,1,0,0,0,8,35,0,0,0,0,3,2,2,2,0,27,9,0,0,0,13,3,1,25,2,2,17,1,0,2,1,3,0,1,12,0,7,21,11,3,0,1,15,0,26,1,3,1,2,5,1,4,6,1,1,10,12,0,0,2,24,13,4,0,0,6,0,9,0,9,1,0,7
2,0,1,5,1,0,15,1,0,0,0,1,6,0,11,2,4,16,23,2,1,28,3,5,3,0,16,5,1,1,0,0,7,8,2,2,2,0,2,0,3,0,0,6,13,0,0,1,23,0,1,1,4,2,0,1,0,0,0,6,0,12,8,3,0,0,3,0,0,0,0,0,1,0,14,0,13,3,0,0,2,0,1,6,18,0,2,2,16,2,3,24,0,1,6,1,15,6,0,0,3,0,0,10,1,1,0,0,1,1,0,0,2,23,0,0,1,0,6,2,1,6,2,27,8,1,0,0,14,0,1,26,1,3,16,2,0,0,3,0,0,2,14,1,3,33,11,0,0,2,22,0,29,1,5,2,0,5,1,0,6,4,0,3,11,0,0,0,27,10,5,0,2,7,0,6,0,6,1,0,7
1,5,1,21,0,2,1,2,2,1,2,3,1,0,1,0,1,0,0,0,5,2,0,0,2,2,0,0,2,0,27,0,3,10,5,1,3,2,0,2,3,5,1,3,0,10,13,0,0,2,1,1,3,2,8,1,1,4,6,3,1,0,1,0,1,0,0,0,1,1,11,8,7,3,0,1,1,1,7,5,0,6,0,0,0,10,6,1,0,0,3,0,1,0,0,1,0,2,2,3,3,19,4,6,4,0,1,1,4,9,1,2,0,0,1,2,0,1,1,0,3,3,0,0,4,2,4,4,6,3,2,1,2,2,0,5,48,1,0,0,6,0,0,3,1,0,0,0,4,2,0,3,0,0,0,1,0,1,2,0,1,0,2,0,0,3,2,2,0,0,0,9,1,0,8,0,2,0,2,3,7
2,0,1,0,1,0,9,0,0,2,0,3,5,0,7,3,0,10,25,0,1,10,6,0,2,0,3,0,0,6,0,0,1,3,1,3,5,0,1,0,2,0,0,9,5,0,0,2,9,0,0,1,0,0,1,1,0,0,0,5,2,1,1,3,0,0,1,0,0,1,1,0,2,2,4,0,8,1,0,0,1,0,0,1,14,0,3,1,20,2,1,16,0,5,4,0,7,9,0,0,0,0,1,10,1,0,2,1,1,0,0,0,4,20,0,0,2,1,4,1,1,1,1,21,4,0,0,0,10,1,0,11,0,3,8,1,0,1,2,2,0,1,6,3,2,18,7,2,0,1,7,0,6,0,1,2,0,5,0,0,0,1,1,2,13,0,0,4,24,5,5,0,0,10,1,1,0,3,0,0,7
3,0,1,1,1,0,9,0,0,0,1,5,2,1,4,5,1,14,19,1,0,17,5,0,2,0,9,4,2,1,0,0,1,9,0,2,4,1,3,0,1,1,0,5,12,0,0,5,13,1,0,1,6,0,0,1,0,0,0,1,0,8,1,5,1,0,4,0,0,3,0,0,2,1,11,0,11,2,0,0,1,0,1,2,10,0,0,0,10,1,1,19,0,3,12,0,7,6,0,0,1,0,0,7,1,1,0,2,4,1,0,0,7,17,0,0,0,0,3,0,0,4,5,24,3,0,0,0,5,1,1,22,1,0,7,1,0,3,1,4,0,0,9,2,4,27,10,2,0,3,13,0,12,2,6,3,1,7,0,3,2,3,0,4,14,0,0,2,14,4,4,0,0,5,0,7,0,5,0,1,7
3,1,2,19,0,3,0,6,0,0,3,2,0,0,3,1,1,0,1,2,1,0,1,0,1,1,0,1,3,0,18,0,2,1,2,2,1,3,1,2,7,3,2,8,1,10,3,1,1,2,4,2,1,4,9,3,4,2,8,8,3,0,6,0,0,4,0,3,2,0,3,8,3,0,1,2,0,0,5,1,1,2,1,0,1,5,16,3,0,0,0,2,3,1,1,4,0,5,2,2,2,9,1,11,2,2,4,3,2,4,0,1,0,0,0,3,0,1,1,0,2,1,1,0,4,0,3,6,5,2,1,3,3,2,1,6,17,0,1,3,3,2,0,13,0,0,0,2,2,4,0,0,0,3,3,4,0,0,1,1,2,2,1,2,1,3,3,10,2,0,0,4,1,2,2,2,1,0,0,1,7
0,0,1,5,1,0,11,0,0,0,2,5,1,2,7,2,0,20,12,3,0,17,1,3,1,0,7,2,1,3,0,0,4,5,1,1,4,1,2,0,2,1,1,10,5,0,0,2,9,0,1,1,4,2,0,0,0,0,0,5,0,5,2,2,0,0,0,0,1,5,1,0,0,0,7,0,2,1,1,0,0,0,0,3,6,0,2,0,13,2,2,17,0,4,6,0,8,3,0,2,0,1,0,17,0,1,1,0,0,1,0,1,9,20,2,1,2,0,4,0,0,1,1,20,2,0,0,1,12,0,0,16,1,0,4,0,0,1,5,3,0,1,9,1,1,19,18,1,1,0,13,0,11,2,1,2,1,8,2,7,5,5,3,0,14,1,0,1,5,6,2,0,0,7,0,8,0,3,0,1,7
2,0,2,2,1,2,7,0,0,1,0,5,1,1,3,1,2,14,21,3,0,15,4,0,4,0,8,3,0,5,0,0,2,7,0,1,3,1,2,0,2,1,1,5,4,0,0,1,8,0,1,1,1,0,3,0,0,1,0,4,0,6,4,3,1,0,0,0,1,2,1,0,0,0,7,0,8,2,0,0,2,0,0,5,10,0,0,1,22,1,1,14,0,2,4,0,6,6,1,0,0,1,0,8,1,0,0,0,1,0,0,0,5,14,0,0,2,1,5,1,1,2,1,16,2,0,0,0,6,1,3,19,0,0,6,2,0,7,4,4,0,0,7,1,3,17,9,1,2,0,11,0,17,1,3,2,0,4,0,3,5,2,1,2,4,0,0,0,10,6,3,1,0,7,2,3,0,7,0,0,7
3,1,0,12,0,2,0,8,3,0,4,0,2,1,0,1,1,7,0,1,1,0,0,3,4,2,0,3,1,2,42,2,3,7,6,3,0,1,2,6,4,5,5,8,1,0,4,1,0,2,5,0,0,2,8,0,3,4,8,5,4,0,2,0,1,4,0,3,2,2,2,7,7,2,2,2,6,0,3,1,0,9,3,0,0,3,17,5,0,1,1,0,4,2,1,1,0,4,3,4,7,17,3,12,7,3,0,2,0,11,0,1,0,0,0,9,0,5,2,0,1,9,0,0,4,0,2,5,14,0,1,6,4,4,0,1,23,2,0,1,2,2,1,14,1,0,0,1,4,3,0,0,0,1,0,9,3,0,1,1,0,1,3,4,0,5,2,2,0,0,2,1,2,0,9,1,3,3,4,3,7
0,0,1,12,2,0,0,1,0,1,0,4,1,1,0,0,1,4,0,3,3,0,1,5,0,2,0,2,2,2,6,0,3,6,2,0,0,2,0,2,2,3,7,4,1,2,2,0,0,2,2,0,0,3,3,1,0,1,1,7,0,0,0,2,2,0,0,0,0,2,3,0,1,0,0,1,4,0,7,1,3,1,0,1,0,1,4,2,0,2,0,0,0,2,0,3,0,4,0,1,0,7,1,1,0,0,2,2,2,3,0,0,1,2,1,2,1,3,2,3,1,1,0,0,0,2,0,6,3,0,0,1,2,1,1,1,8,0,1,1,2,0,1,2,0,0,0,5,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,4,2,8,2,0,1,1,0,2,1,0,2,1,0,1,7
1,4,3,23,0,2,1,6,0,4,2,1,0,3,0,1,0,7,0,1,2,0,0,0,3,1,0,1,1,0,19,1,5,11,3,4,0,3,1,7,5,1,1,4,2,2,15,1,0,3,2,3,1,2,6,4,3,1,7,5,2,3,1,1,1,0,0,6,1,3,4,1,0,1,1,3,3,0,5,1,0,9,2,0,0,10,9,5,0,0,3,0,0,0,0,0,0,5,2,1,4,16,2,13,3,4,0,3,0,6,0,2,0,1,6,4,1,2,0,5,2,4,2,0,5,1,1,2,16,0,0,7,3,0,0,0,20,1,0,0,7,1,3,4,5,0,0,0,6,1,0,1,0,1,3,4,5,1,0,0,0,0,4,6,0,7,1,3,0,0,0,4,2,0,4,0,4,1,5,4,7
2,0,2,6,1,2,7,5,0,2,2,3,3,3,5,0,2,12,15,2,0,13,5,3,3,0,14,4,0,4,0,0,5,5,1,1,5,2,1,0,0,1,0,4,7,1,0,1,8,0,0,0,1,0,0,0,0,0,0,4,0,4,1,5,0,1,5,0,0,4,2,0,0,0,4,0,7,3,0,0,0,0,0,2,4,0,0,4,14,0,2,16,0,2,3,0,7,5,0,2,3,1,0,10,1,1,0,0,1,0,0,1,7,14,0,0,0,1,6,0,1,0,1,18,2,1,0,0,16,3,2,24,1,1,6,1,1,6,3,0,0,1,14,1,3,13,5,2,0,0,14,0,25,1,4,1,0,7,2,2,2,2,2,4,12,1,0,1,6,9,4,1,0,3,0,2,0,4,1,0,7
1,0,0,3,1,1,6,0,0,0,0,5,2,5,8,1,1,12,25,0,2,15,1,2,2,0,11,9,0,2,0,0,4,14,2,5,6,1,2,0,1,1,0,7,15,0,0,1,18,0,1,1,2,0,0,1,0,0,0,5,0,5,3,7,3,0,4,0,1,2,3,0,1,0,5,1,3,3,0,1,2,0,0,2,10,0,2,3,30,1,1,18,0,6,3,2,9,13,0,1,4,1,0,17,0,2,0,1,0,0,0,0,8,26,0,0,0,0,9,0,0,2,2,32,3,0,0,0,7,0,0,25,0,1,12,1,0,5,0,2,0,0,11,2,1,19,16,1,0,2,22,0,20,2,0,2,0,10,0,4,6,2,2,3,10,1,0,4,15,10,2,0,0,8,2,5,2,3,0,1,7
2,1,0,16,5,0,0,3,3,2,0,0,0,0,0,1,0,3,0,1,3,0,1,2,4,3,0,1,9,1,18,1,1,10,7,0,0,1,2,2,4,5,1,8,2,5,12,0,0,1,1,0,0,0,11,1,1,5,2,2,4,0,2,1,3,1,0,1,1,2,8,9,10,0,0,2,2,0,8,3,0,10,1,0,0,3,4,5,0,0,2,0,2,0,1,1,0,2,2,2,0,9,10,6,4,3,0,1,0,8,1,0,2,0,0,4,2,6,2,3,2,1,4,0,3,0,5,5,5,3,1,2,0,5,0,2,54,0,1,2,7,1,1,6,0,0,0,0,3,2,0,2,0,1,0,4,1,0,0,0,2,0,3,1,0,3,2,2,1,0,0,5,3,1,4,0,3,1,2,1,7
3,0,4,8,0,0,19,4,0,1,0,4,5,3,7,2,2,14,23,1,0,27,2,0,4,0,16,4,1,0,0,0,3,6,1,5,9,3,4,0,1,1,0,5,13,0,0,1,12,2,1,1,3,0,0,1,0,0,0,4,0,10,3,13,1,1,4,0,2,1,0,0,0,0,6,1,11,3,0,1,3,0,0,4,12,2,1,0,33,2,2,26,0,2,5,0,9,17,2,1,8,0,0,14,0,1,0,1,2,0,0,2,11,24,0,0,1,0,6,1,1,3,5,37,5,1,0,2,11,2,0,33,2,0,6,1,0,3,4,4,1,2,10,0,0,26,12,4,0,1,29,0,27,3,3,3,1,22,0,3,7,0,1,4,14,0,0,0,13,11,1,0,1,13,1,5,1,4,0,1,7
2,1,2,5,1,2,19,5,0,0,0,1,5,0,14,2,1,11,24,2,0,25,2,1,2,0,11,9,0,3,2,0,5,11,2,0,6,1,4,0,2,0,1,7,7,0,0,5,19,1,0,1,5,1,0,1,0,0,0,6,0,12,4,0,0,0,11,0,1,6,1,0,0,0,7,1,4,5,0,2,1,0,0,5,9,0,2,0,28,1,1,25,0,5,8,1,10,16,0,2,1,0,1,22,0,2,0,1,0,0,0,0,11,19,1,0,1,1,6,0,0,7,1,30,6,0,0,2,14,1,2,31,2,0,9,2,0,3,4,0,0,0,22,1,3,27,15,2,1,1,19,0,48,1,2,4,0,15,1,5,5,2,1,4,9,0,0,0,10,12,4,0,1,11,0,6,0,5,1,0,7
3,0,1,5,0,2,5,2,0,0,0,3,4,0,4,1,1,11,11,0,0,15,1,0,1,0,13,3,0,4,0,0,4,4,2,3,7,1,0,0,0,0,2,4,8,0,0,1,9,0,0,1,3,1,0,0,0,0,0,5,0,4,3,3,0,0,1,0,0,1,2,0,0,2,5,0,2,2,0,0,2,0,0,1,10,0,3,1,13,3,1,7,0,6,2,0,4,10,0,1,1,0,0,14,1,0,1,0,2,0,0,0,4,11,1,0,0,0,4,1,0,1,1,21,4,0,0,0,4,1,1,28,0,1,7,0,0,1,1,1,0,0,8,1,0,11,16,0,3,3,7,0,18,0,2,3,1,4,0,2,5,2,1,2,4,0,0,1,9,1,3,0,0,5,1,3,0,1,0,0,7
1,5,1,14,3,0,1,3,4,1,0,1,1,1,1,0,0,5,0,4,4,1,1,3,1,0,0,1,4,1,9,0,3,7,4,3,1,4,2,0,4,2,4,6,1,3,10,1,0,3,2,1,4,2,10,2,2,3,6,3,2,1,2,1,2,2,0,4,1,1,5,1,2,0,0,2,2,0,3,2,1,4,2,0,2,4,5,5,0,0,2,0,2,2,0,3,1,3,1,0,4,12,3,8,0,4,1,1,1,6,1,4,0,0,3,4,1,2,0,2,9,4,2,0,4,1,3,3,3,5,0,4,2,3,3,0,18,1,1,0,3,2,0,5,1,0,0,1,6,4,2,2,0,1,1,5,0,0,1,0,3,4,2,2,0,3,2,1,0,0,5,2,4,0,4,0,1,0,0,2,7
3,5,1,24,3,1,0,10,1,0,1,3,0,0,0,2,1,0,0,0,2,0,1,1,3,1,0,0,1,0,43,0,0,6,11,1,3,2,1,5,5,2,7,3,0,2,16,2,0,1,2,0,4,0,11,2,0,1,5,3,9,0,0,1,2,2,1,4,1,0,4,7,5,2,0,2,1,0,3,3,1,17,2,0,1,5,15,3,0,1,3,1,0,2,0,5,1,7,3,0,2,16,3,4,3,3,1,4,0,12,1,1,0,0,6,4,0,3,1,1,1,6,0,0,8,1,1,2,1,2,0,3,4,1,0,3,34,0,1,4,3,1,0,5,1,0,0,2,2,3,0,3,0,1,0,7,0,0,0,1,0,2,2,2,1,2,3,8,0,0,0,6,1,0,5,1,2,0,1,3,7
2,0,2,5,2,0,4,3,0,0,1,2,7,2,6,1,0,11,9,0,0,7,0,2,0,0,12,2,0,1,0,0,2,6,0,1,3,2,0,0,2,1,1,3,6,0,0,3,12,0,1,1,1,1,1,0,0,0,0,2,0,4,1,1,0,0,0,0,0,0,1,0,2,2,5,0,3,3,1,0,0,0,0,5,10,0,0,0,21,1,0,8,0,6,3,0,7,0,1,0,0,0,1,10,0,0,0,0,1,1,0,1,7,11,4,0,1,2,4,1,2,0,1,18,3,0,0,0,12,1,2,10,1,0,4,1,0,1,5,0,0,0,9,3,2,10,10,1,1,4,13,0,15,1,3,0,0,2,1,3,4,0,3,1,4,0,0,3,13,8,1,1,0,4,1,4,0,3,1,2,7
0,1,4,21,1,2,2,5,1,0,0,0,0,1,2,2,0,1,0,3,1,0,3,3,0,1,0,1,4,1,18,0,4,6,3,2,2,1,1,6,3,3,4,7,2,5,13,2,0,2,1,0,1,0,12,2,1,4,5,3,2,0,1,0,2,4,0,2,0,1,8,6,4,1,1,3,1,3,1,4,1,2,0,0,0,1,6,8,0,2,5,0,1,2,0,1,0,2,1,2,2,21,6,5,4,0,1,5,1,13,1,1,0,0,0,6,0,6,2,2,5,2,1,0,6,1,5,5,3,0,1,0,2,2,0,2,37,0,0,1,4,0,0,12,0,0,0,0,4,0,0,0,0,1,1,8,3,0,1,0,2,0,0,3,0,0,1,3,0,0,4,7,1,1,4,0,5,1,2,3,7
3,0,1,3,0,1,9,0,0,1,1,5,2,1,6,1,2,9,21,2,0,20,3,2,1,0,13,7,0,1,0,0,2,6,0,2,3,1,3,0,1,1,0,2,9,0,0,2,18,0,0,5,3,1,2,1,0,0,0,3,0,11,1,2,1,1,12,0,1,2,1,0,0,0,10,1,4,1,0,0,1,0,0,2,11,0,2,1,21,3,0,16,0,3,5,0,4,9,0,0,1,0,1,9,0,2,0,1,1,0,0,0,4,27,0,0,0,0,2,1,0,5,1,30,5,0,0,0,6,1,2,25,0,1,3,0,0,1,3,1,0,1,13,0,5,14,19,4,2,0,11,0,28,1,2,0,0,9,1,4,5,4,2,4,9,0,0,4,8,16,4,0,0,14,2,16,0,1,0,0,7
4,2,3,0,0,0,21,2,0,1,0,1,10,0,17,0,4,8,17,1,3,30,2,3,3,0,16,9,2,2,0,0,3,9,0,4,5,0,3,0,0,0,0,4,10,1,0,1,17,1,1,2,4,0,0,1,0,0,0,4,0,14,4,6,2,1,3,0,0,2,0,0,2,1,13,0,15,3,0,0,4,0,1,2,21,3,2,0,28,3,4,24,0,2,1,1,16,6,1,0,0,0,0,11,1,2,1,0,2,0,0,2,8,25,0,0,0,0,5,0,2,4,4,32,12,3,0,0,11,0,0,27,0,0,3,3,0,0,4,0,0,2,16,1,3,23,11,4,0,0,13,0,14,3,6,3,0,8,1,4,7,9,0,8,21,0,0,1,18,12,4,0,0,13,1,8,1,8,2,1,7
2,0,3,0,0,1,11,2,0,1,0,1,2,1,6,2,0,13,9,1,0,12,3,1,1,0,9,5,0,3,0,0,9,1,0,1,5,0,0,0,2,1,1,7,7,0,0,2,12,0,3,2,3,0,0,0,0,1,0,3,1,8,1,0,1,0,1,0,0,0,1,0,1,0,4,0,6,3,0,1,0,0,0,1,12,0,1,2,19,4,2,16,0,5,7,0,5,6,1,2,2,0,0,7,0,1,0,0,1,0,0,0,3,16,1,0,1,0,10,1,0,1,1,27,0,0,0,0,6,1,0,20,1,2,6,2,0,3,5,0,0,0,13,4,4,17,10,0,0,2,11,0,20,2,4,0,1,3,2,1,3,0,1,0,12,1,0,2,14,8,2,0,0,9,1,4,1,1,1,2,7
1,0,0,1,0,1,6,0,0,1,0,5,3,0,3,2,0,11,13,1,0,11,1,1,3,0,10,2,0,2,0,0,0,5,4,1,1,0,1,0,1,0,0,4,6,0,0,0,12,0,0,1,1,0,1,0,0,0,0,4,0,6,1,1,0,0,1,0,0,0,1,0,0,1,4,0,11,3,0,2,2,0,0,3,7,0,1,0,19,2,1,14,0,3,4,0,2,3,0,1,0,0,0,7,0,1,0,0,2,1,0,0,9,6,2,0,0,0,2,0,2,0,2,15,1,0,0,0,5,0,0,10,1,0,7,1,0,3,4,1,0,0,6,2,0,17,9,2,1,0,8,0,10,0,0,0,0,4,2,1,1,1,2,1,4,1,1,1,14,4,5,1,0,5,0,4,0,1,1,0,7
